Mstar,class_star,qir,log(S8/S45),log(S58/S36),log(S45/S36)
0.902963554,0.000338228,0.656508666,0.433848095,0.519962165,0.1770694
0.925085729,0.028707223,0.448829321,0.486295397,0.428316427,0.190196859
0.914919724,0.040141466,0.480242175,0.705191221,0.285388968,0.127826572
0.902767939,0.565375285,0.539646445,0.608031664,0.681507094,0.470814388
0.921724724,0.028810271,0.561601847,0.451683998,0.423648766,0.310691042
0.911274189,0.000223406,0.609290709,0.542650605,0.393128048,0.213771531
0.908482242,0.041462276,0.517895011,0.476920101,0.553326395,0.497240108
0.845822305,0.000852061,0.588782655,0.503724481,0.624343614,0.584483585
0.917782803,0.000232865,0.638741433,0.472072979,0.459981674,0.162948379
0.909774481,0.028787931,0.420236429,0.435705613,0.364060188,0.236337066
0.889655867,0.000669613,0.613421011,0.499579163,0.505582994,0.130817803
0.90931212,0.000475592,0.609457037,0.469531409,0.481663093,0.185912435
0.934937567,0.028797692,0.422345904,0.379349627,0.402922177,0.082484594
0.931997427,0.000981979,0.592557428,0.584444052,0.42522354,0.176444991
0.8872018,0.000251684,0.632503452,0.486363222,0.506737071,0.165002852
0.929904949,0.028718091,0.421880345,0.398487042,0.383238595,0.203724835
0.881368943,0.02870521,0.608182422,0.873756408,0.483314257,0.289536609
0.895429447,0.000116936,0.518231298,0.64131799,0.477886824,0.341935853
0.840479077,0.012155783,0.617529867,0.483440265,0.655581505,0.535436881
0.862709137,0.028171553,0.616100993,0.751194777,0.567796406,0.388010169
0.914232111,0.028706519,0.76601134,0.606547546,0.415265288,0.25551317
0.871178634,0.028666064,0.64107233,0.8594882,0.482569996,0.312571728
0.879543211,0.003399087,0.574632192,0.410526569,0.446299555,0.173154267
0.89204473,0.003149416,0.650190718,0.444406951,0.614522914,0.523074145
0.932240463,0.028034591,0.194792638,0.482381238,0.444105072,0.057655768
0.929786395,0.028708229,0.272937039,0.375005653,0.264206533,0.238359657
0.892554513,0.027990916,0.628356629,0.683844443,0.49152066,0.324061644
0.900390932,0.001391354,0.653870655,0.578541574,0.488433687,0.411145025
0.899964137,0.023335625,0.625241314,0.573524713,0.480974596,0.119514159
0.916312734,8.66E-05,0.608987652,0.395521373,0.557572177,0.46307907
0.86750761,0.838483857,0.694167944,0.648859218,0.567206578,0.377496626
0.908612651,0.000989526,0.465597076,0.808258923,0.697251008,0.412761785
0.896656481,0.028701588,0.608181594,0.663793035,0.467594576,0.308993895
0.888405123,0.028707525,0.630782842,0.843739049,0.522895285,0.447405223
0.878328033,0.028198623,0.474481672,0.468860578,0.455103057,0.114936072
0.92650245,0.014290112,0.633144973,0.385138611,0.57163393,0.507883636
0.91346151,0.093500194,0.603359473,0.529580969,0.529076189,0.466316216
0.920983761,0.000281974,0.600534063,0.514813973,0.548222706,0.263935627
0.910551009,0.051345159,0.614365428,0.547253969,0.401762999,0.123132261
0.925868186,0.855295735,0.629247905,0.896860005,0.894400223,0.737161956
0.887415197,0.000739956,0.618106193,0.610425237,0.566724782,0.158895921
0.900029342,0.015453029,0.595198399,0.471544349,0.638776432,0.562222792
0.92160617,0.532011362,0.59000996,0.630629625,0.748476035,0.654298628
0.914190617,0.018066976,0.624761983,0.576503699,0.721332923,0.599726734
0.943918032,0.028703097,0.722718519,0.453694941,0.450780001,0.061916022
0.891819478,0.012765922,0.625891088,0.602920269,0.518265093,0.688902623
0.920272437,0.000642945,0.625898861,0.524590535,0.638634249,0.487285895
0.948529782,0.028646944,0.4741716,0.429074283,0.422109824,0.106205501
0.927012232,0.028708531,0.484608519,0.477818899,0.437168891,0.230781647
0.875263412,0.028755426,0.643526034,0.865421291,0.553380683,0.474501115
0.917219672,0.028646139,0.624702942,0.577262683,0.468320904,0.221227034
0.916383866,0.000486259,0.649424734,0.590318438,0.460667259,0.360926588
0.90493155,0.004791749,0.601804423,0.457380973,0.558382653,0.579738876
0.863320283,0.018334358,0.590268181,0.51944144,0.467130621,0.474000379
0.915933361,0.000261244,0.663337017,0.549229427,0.442969339,0.209954293
0.937178237,0.02414371,0.587735935,0.442823883,0.422086267,0.215199211
0.8420185,0.00084069,0.629631104,0.622777805,0.43785197,0.191330304
0.932489426,0.075992135,0.617576328,0.507119186,0.670761217,0.48418059
0.893615571,9.49E-05,0.626360973,0.667825258,0.696257044,0.632443235
0.908820121,0.001155772,0.638554306,0.621076315,0.531937089,0.122631587
0.916840299,0.000611246,0.634575443,0.518905853,0.352951733,0.13726211
0.892590079,0.000636304,0.640119086,0.478186901,0.459293295,0.425212229
0.929584854,0.02605574,0.511431734,0.427118163,0.37646265,0.093102099
0.902803506,0.001002005,0.619176391,0.55392882,0.490174753,0.112356523
0.935583686,0.751493723,0.600613556,0.573669742,0.735984819,0.615467087
0.901908423,0.028707122,0.686508038,0.646964248,0.495992385,0.311527546
0.886958764,0.028708732,0.621437981,0.90016238,0.555844749,0.334208986
0.902435988,0.022663195,0.65484458,0.550526186,0.548340883,0.498778223
0.872736434,0.026680974,0.653171641,0.872997698,0.500073989,0.18601182
0.892305549,0.009322858,0.584675361,0.524519857,0.5834485,0.634560826
0.900379076,0.027459271,0.256625537,0.364030574,0.349315048,0.131830655
0.921926265,0.02430905,0.635757955,0.636351741,0.492513261,0.229673988
0.825945542,0.000197543,0.566607378,0.531434285,0.663891934,0.553590465
0.926567654,0.025002815,0.623099768,0.529463196,0.475454287,0.111099006
0.907990243,0.001051919,0.664095988,0.443524121,0.456868771,0.186377757
0.862686611,0.028635472,0.59727047,0.794579397,0.40244297,0.441488115
0.894143136,0.085097223,0.627915367,0.463131151,0.518313123,0.524739585
0.8994425,6.88E-05,0.622150246,0.498429157,0.529031325,0.195427255
0.910965948,0.028707827,0.62583309,0.587744294,0.44441693,0.281530454
0.91791914,0.122599484,0.60315002,0.415255722,0.458447627,0.243960026
0.898470357,0.000197945,0.605329518,0.654392856,0.549710214,0.539301858
0.906306776,0.000168158,0.57333248,0.515014231,0.48792576,0.485008455
0.863547313,0.028708129,0.708577969,0.665006601,0.485631964,0.150810848
0.901475701,0.005796471,0.539374325,0.53640678,0.60591646,0.544995712
0.896259325,0.036665093,0.606980385,0.731273772,0.464196164,0.353079989
0.895470941,0.000140886,0.500862251,0.514338246,0.510161171,0.217561861
0.915044206,0.01299919,0.650657947,0.514417304,0.650603314,0.565514073
0.922133735,0.008489515,0.527580341,0.642390353,0.654451906,0.472511529
0.89106666,0.028593105,0.662513018,0.733701607,0.443037168,0.369442195
0.885221948,0.028708431,0.656839071,0.693465038,0.476943985,0.327006011
0.89248338,0.028701084,0.634441077,0.72192058,0.473283078,0.356119908
0.859422227,0.029528692,0.666528356,0.164821155,0.503075087,0.2476194
0.854023871,0.001088247,0.651600857,0.789360099,0.523298489,0.403667553
0.896520144,0.783703685,0.632068948,0.620184001,0.723738305,0.587522493
0.80120273,0.000406357,0.55952797,0.674665488,0.616997362,0.469037782
0.936040119,0.003347663,0.614591879,0.383620157,0.478422502,0.145554848
0.901440135,0.028706418,0.643133764,0.689379136,0.471673708,0.320436766
0.89892679,0.007023692,0.392102569,0.321102714,0.607589938,0.522128367
0.886176308,0.910247486,0.631145528,0.627555302,0.57562248,0.324809131
0.882032845,0.028591193,0.621802342,0.6280135,0.513057709,0.156587089
0.942056734,1.26E-05,0.476870053,0.654568542,0.734381419,0.592670364
0.907865761,0.000308139,0.59028669,0.517788349,0.436460597,0.207138014
0.918179959,0.003350984,0.615165285,0.319102333,0.351957862,0.337580172
0.866272277,0.000241218,0.546674474,0.574543559,0.48480817,0.137494815
0.936549901,5.49E-05,0.56438166,0.462563503,0.490678223,0.380052002
0.950379225,0.000236689,0.645590025,0.614368217,0.519662346,0.419423925
0.898968284,0.028675926,0.650715703,0.634842442,0.460244363,0.32263205
0.885630959,0.502916702,0.592168863,0.832356754,0.826208183,0.628068019
0.916087481,0.001687216,0.635109208,0.569223332,0.485227819,0.250048377
0.906846197,0.038646862,0.615144783,0.663537981,0.438937264,0.23625586
0.820646771,0.001652397,0.625905154,0.80543431,0.43352878,0.374735635
0.911582429,0.000789266,0.624685968,0.499099799,0.446779424,0.16280999
0.914824881,0.00200099,0.618352439,0.507736322,0.504646525,0.07267454
0.925382114,0.028706116,0.4026888,0.332999703,0.352892037,0.046884853
0.92111417,0.097285913,0.647169271,0.783359962,0.8092418,0.692488991
0.920041257,0.02863517,0.563020117,0.523037871,0.442087624,0.158037199
0.911961802,0.020321964,0.633645487,0.844950193,0.849624214,0.666377726
0.909246915,0.802688939,0.493530366,0.481340935,0.668077093,0.498853774
0.907759063,0.835356781,0.61078626,0.560869891,0.526260549,0.540388102
0.923811274,0.028696958,0.580258767,0.452144886,0.477976113,0.096514971
0.906935112,0.985419964,0.67477546,0.836956584,1,0.968078095
0.930343599,0.02864634,0.256723892,0.448173916,0.397286793,0.151414221
0.938162235,0.027855263,0.441200986,0.355167531,0.342825928,0.118483145
0.933260027,0.028443967,0.432881231,0.427006753,0.432735753,0.181772618
0.891777984,0.000460196,0.608632562,0.498080281,0.502889756,0.102060773
0.89521605,0.000927133,0.651674077,0.524398798,0.498582633,0.101162058
0.918209598,0.028816511,0.405275747,0.449009946,0.402922867,0.038392889
0.925020525,0.028709034,0.394652042,0.396399012,0.371439493,0.132596846
0.901712809,0.000137163,0.63013854,0.546690691,0.625585378,0.499534729
0.907035883,0.000244438,0.625157829,0.556186436,0.537718599,0.124299837
0.93052143,0.026297562,0.569320883,0.674883541,0.622153266,0.462802642
0.910438383,0.000172284,0.593544728,0.505659718,0.524105251,0.331735872
0.912032934,0.028708229,0.624210609,0.609117062,0.505964221,0.181669185
0.909412891,0.891680364,0.542217665,0.594509247,0.710027008,0.587586156
0.935192458,0.028530008,0.458834861,0.38505452,0.365973791,0.134974635
